,N1 (CN per 100 mL),N1 (CN per 100 mL),N1 (CN per 100 mL),Recovery (%),Recovery (%),Recovery (%),PMMoV (CN per mL),PMMoV (CN per mL),PMMoV (CN per mL),N1/PMMoV,N1/PMMoV,N1/PMMoV,trust
26-Oct-2020,0,28,32,2.49,,,4104,,,0,0.26,0.27,TRUE
27-Oct-2020,0,0,0,0.46,,,3320,,,0,0,0,TRUE
28-Oct-2020,40,0,32,6.66,,,10944,,,0.27,0,0.25,TRUE
29-Oct-2020,0,0,0,2.63,,,2624,,,0,0,0,TRUE
30-Oct-2020,0,0,0,0.9,,,,,,,,,TRUE
31-Oct-2020,32,0,0,1.08,,,6832,,,0.26,0,0,TRUE
1-Nov-2020,0,32,0,3.11,,,5232,,,0,0.26,0,TRUE
2-Nov-2020,0,0,0,0.29,,,1304,,,0,0,0,TRUE
3-Nov-2020,0,0,0,0.17,,,1872,,,0,0,0,TRUE
4-Nov-2020,32,28,0,3.86,,,3520,,,0.27,0.26,0,TRUE
5-Nov-2020,0,36,0,0.24,,,3536,,,0,0.28,0,TRUE
6-Nov-2020,0,0,0,1.03,,,1552,,,0,0,0,TRUE
7-Nov-2020,0,0,0,2.79,,,1840,,,0,0,0,TRUE
8-Nov-2020,0,0,0,0.02,,,2960,,,0,0,0,TRUE
9-Nov-2020,120,76,32,3.26,,,80640,,,0.3,0.27,0.22,TRUE
10-Nov-2020,108,196,124,3.34,,,5544,,,0.35,0.4,0.36,TRUE
11-Nov-2020,192,112,264,0.69,,,22160,,,0.36,0.32,0.38,TRUE
12-Nov-2020,64,96,0,3.06,,,11152,,,0.3,0.33,0,TRUE
13-Nov-2020,32,76,100,0.96,,,9120,,,0.25,0.32,0.34,TRUE
14-Nov-2020,32,96,60,2.11,,,6840,,,0.26,0.34,0.3,TRUE
15-Nov-2020,400,212,236,5.31,,,6080,,,0.45,0.4,0.41,TRUE
16-Nov-2020,172,0,224,,,,3056,,,0.41,0,0.43,TRUE
17-Nov-2020,0,0,0,,,,1448,,,0,0,0,TRUE
18-Nov-2020,64,68,48,,,,2352,,,0.34,0.34,0.31,TRUE
19-Nov-2020,64,108,36,,,,2288,,,0.34,0.38,0.29,TRUE
20-Nov-2020,0,40,84,,,,2344,,,0,0.3,0.36,TRUE
21-Nov-2020,36,0,0,,,,1600,,,0.3,0,0,TRUE
22-Nov-2020,0,0,0,2.23,,,1248,,,0,0,0,TRUE
23-Nov-2020,140,32,0,55.8,,,1328,,,0.42,0.29,0,TRUE
24-Nov-2020,68,24,36,115.71,,,1808,,,0.35,0.26,0.3,TRUE
25-Nov-2020,0,28,36,13.4,,,3816,,,0,0.26,0.28,TRUE
26-Nov-2020,0,0,28,2.34,,,1032,,,0,0,0.29,TRUE
27-Nov-2020,36,0,28,3.49,,,1432,,,0.3,0,0.28,TRUE
28-Nov-2020,0,0,0,2.07,,,1760,,,0,0,0,TRUE
29-Nov-2020,0,0,0,2.63,,,1280,,,0,0,0,TRUE
30-Nov-2020,40,28,60,10.37,,,4616,,,0.28,0.26,0.31,TRUE
